UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
142115,0.4734189008101598,0.14133507346081456,0.9840271681927082,4.706206447086136e-08,1
142276,0.49474869843498326,0.1218285330042621,0.9596767610983463,2.931897761655956e-06,1
142285,0.3261430722801753,0.32766665543527823,0.9557870243911066,4.412307706426863e-06,1
142328,-0.3389972890042916,0.3078105667069353,0.738109915708191,0.009498246107353826,3
142461,0.020375762729699695,0.9525839273488923,0.7223270123656281,0.012053437131570852,1
142522,-0.3182612630697303,0.3401703228345339,-0.5209386191283047,0.10035762220311713,4
143084,0.5539834557927102,0.07701446384544144,0.8787287639072682,0.0003691114675206812,1
143118,0.32277756721458667,0.3329753286328772,0.9630034696471048,1.9997371648990084e-06,1
143358,0.2298742037222643,0.4965159850064989,0.8607901032945438,0.0006684064833503769,1
144005,0.15625053765308095,0.6463896977240889,0.7221138642462095,0.012091017860729903,1
144050,0.7389383159226486,0.009376092452562013,0.7467035828852204,0.008285969355255537,1
144351,-0.22674312738213084,0.5025602534178091,0.823429625852255,0.001840675544020391,3
144740,0.47350218741790795,0.14125531252664933,0.8850968523871328,0.000292336372364443,1
144883,0.308631262108587,0.3557818865230217,0.45581888134310455,0.15882995048382403,1
144892,0.2254233343342068,0.5051175285088824,0.9623626305656814,2.158395301911981e-06,1
144962,0.27773273195545634,0.4082958940784009,0.9542142578115189,5.15208951132443e-06,1
145336,-0.011276055157038868,0.9737508758155873,0.9575027926688384,3.7016740492660203e-06,3
145600,0.6286952680640745,0.038272683253114316,0.9865897277587403,2.150422499216655e-08,1
145619,0.4521675689979517,0.16261989732315646,0.9667457323720432,1.244284430413246e-06,1
145637,0.38658811421983474,0.24020971273062816,0.9458730487754041,1.080868634072145e-05,1
145691,0.3296158620900295,0.3222364003523452,0.6053739786302692,0.048425373759068434,1
145725,0.5875506589906212,0.057333170625553966,0.923646821657572,4.920035503545791e-05,1
145813,0.6788755872088874,0.021620947211118225,0.9739204614064905,4.2117972776867936e-07,1
146427,0.7640363546817355,0.006189616503527019,0.7482385212636012,0.008081964428183657,1
146481,0.4935911057353882,0.12284009905280227,0.7503697943269766,0.007804816370328407,1
146612,0.5494877979373476,0.07995246197829696,0.9441125548966127,1.2451118135958208e-05,1
146719,0.31127534665281775,0.351459068433418,0.8425954398275806,0.001130133360173966,1
147013,-0.08690162136090494,0.7994473485349703,0.7517618960134114,0.007627580971994084,3
147341,0.10816840970588222,0.7515689622822507,0.5997839992771656,0.05110880018130379,1
147660,-0.15843587678361634,0.6417291659351222,0.962811405337858,2.046309288492785e-06,3
147703,0.6257264240557947,0.039474362055416476,0.9892134656455105,8.10330609892353e-09,1
147767,0.6169843544876685,0.04316460633876369,0.9240055428632101,4.819415885736229e-05,1
147776,0.8727332537973657,0.00045452300597533353,0.9555436723900079,4.521048846755173e-06,1
147828,-0.0554540255754926,0.8713535457933679,0.746085362550307,0.0083691878071676,3
148131,-0.27850670082547746,0.4069364104093182,0.07370460894511832,0.8294833691584015,3
148487,0.7672816521372902,0.0058453149010889854,0.9571423319675513,3.8430589950444185e-06,1
148496,0.731007893762025,0.01059351746996228,0.9629237741812748,2.0189613976998433e-06,1
148584,0.33758862864905764,0.3099538893960266,0.9699619784781612,7.909540743531387e-07,1
148627,0.8039281232049693,0.002862134152659483,0.9694751939011781,8.496934302763905e-07,1
148654,0.8202242550762088,0.00198610757650968,0.8799213808517325,0.0003536872865006797,1
149222,0.8331397361316804,0.0014483842519885748,0.9734640614211113,4.550784945000907e-07,1
